試合種別ID,試合種別名略,チームID,チーム名略,選手ID,選手名,選手名英略,ポジション,背番号,出生地,身長,体重,生年月日,所属チーム履歴,Jリーグ通算出場数(J1),Jリーグ通算出場数(J2),Jリーグ通算出場数(J3),Jリーグ初出場年月日,Jリーグ初出場試合名,初出場チーム名略称,初出場相手チーム名略称,初出場競技場名略称,Jリーグ初得点年月日,Jリーグ初得点試合名,Jリーグ初得点チーム名略称,Jリーグ初得点相手チーム名略称,Jリーグ初得点初出場競技場名略称,現所属F,SkillCorner選手ID,SkillCorner選手ID_2025
249,Ｊ１百年構想,120,鹿島,1400087,梶川　裕嗣,KAJIKAWA Yuji,GK,29,愛知県,185,78,19910726,駒場ＳＣ-名古屋グランパスＵ１２-名古屋グランパスＵ１５-東海学園高-東海学園大-湘南ベルマーレ-徳島ヴォルティス-湘南ベルマーレ-徳島ヴォルティス-横浜Ｆ・マリノス-ジュビロ磐田,22,103,0,20161029,明治安田J1 2nd第16節,湘南,甲府,ＢＭＷス,,,,,,1,254444,254444
249,Ｊ１百年構想,120,鹿島,1618487,山田　大樹,YAMADA Taiki,GK,21,千葉県,192,90,20020108,鹿島アントラーズＪｒユース-鹿島アントラーズユース-鹿島アントラーズ-ファジアーノ岡山,2,7,0,20200816,明治安田J1第10節,鹿島,神戸,カシマ,,,,,,1,,
249,Ｊ１百年構想,120,鹿島,1632225,早川　友基,HAYAKAWA Tomoki,GK,1,神奈川県,187,81,19990303,横浜Ｆ・マリノスプライマリー-横浜Ｆ・マリノスＪｒユース-桐蔭学園高-明治大,115,0,0,20220916,明治安田J1第30節,鹿島,鳥栖,駅スタ,,,,,,1,254409,254409
249,Ｊ１百年構想,120,鹿島,1645030,藤井　陽登,FUJII Haruto,GK,31,青森県,183,79,20030605,十和田イーストＦＣ-十和田中-矢板中央高-明治大,0,0,0,,,,,,,,,,,1,,
249,Ｊ１百年構想,120,鹿島,1300052,植田　直通,UEDA Naomichi,DF,55,熊本県,186,79,19941024,大津高-鹿島アントラーズ-サークル　ブルージュ／ベルギー-ニーム　オリンピック／フランス,206,0,4,20140301,J1第1節,鹿島,甲府,国立,20150416,明治安田J1 1st第6節,鹿島,柏,柏,1,11835,11835
249,Ｊ１百年構想,120,鹿島,1301053,安西　幸輝,ANZAI Koki,DF,2,兵庫県,172,64,19950531,戸塚ＦＣジュニア-東京ヴェルディジュニア-東京ヴェルディＪｒユース-東京ヴェルディユース-東京ヴェルディ-鹿島アントラーズ-ポルティモネンセＳＣ／ポルトガル,180,150,0,20140302,J2第1節,東京Ｖ,松本,味スタ,20140506,J2第12節,東京Ｖ,讃岐,丸亀,1,27311,27311
249,Ｊ１百年構想,120,鹿島,1500256,小川　諒也,OGAWA Ryoya,DF,7,東京都,183,78,19961124,コレーガＳＣ-Ｆｏｒｚａ’０２-流通経済大付属柏高-ＦＣ東京-ヴィトーリアＳＣ／ポルトガル-シント＝トロイデンＶＶ／ベルギー-ＦＣ東京-シント＝トロイデンＶＶ／ベルギー,148,0,53,20150321,明治安田J3第2節,J-22,山口,維新公園,20170715,明治安田J3第17節,Ｆ東23,鳥取,とりスタ,1,26854,26854
249,Ｊ１百年構想,120,鹿島,1500561,小池　龍太,KOIKE Ryuta,DF,25,東京都,170,65,19950829,松ヶ谷ＦＣ-横河武蔵野ＦＣジュニア-ＪＦＡアカデミー福島-レノファ山口ＦＣ-柏レイソル-ロケレン／ベルギー-横浜Ｆ・マリノス,179,63,30,20150315,明治安田J3第1節,山口,鳥取,維新公園,20151103,明治安田J3第36節,山口,藤枝,維新公園,1,152112,152112
249,Ｊ１百年構想,120,鹿島,1604671,千田　海人,CHIDA Kaito,DF,4,宮城県,186,82,19941017,黒松パルＦＣ-ＦＣみやぎバルセロナＪｒユース-ベガルタ仙台ユース-神奈川大-ブラウブリッツ秋田-東京ヴェルディ,35,64,95,20170625,明治安田J3第14節,秋田,相模原,Ａ‐スタ,20190727,明治安田J3第18節,秋田,岩手,ソユスタ,1,798289,798289
249,Ｊ１百年構想,120,鹿島,1614200,関川　郁万,SEKIGAWA Ikuma,DF,5,東京都,182,72,20000913,ＦＣ多摩-流通経済大付属柏高,141,0,0,20200223,明治安田J1第1節,鹿島,広島,Ｅスタ,20210403,明治安田J1第7節,鹿島,浦和,埼玉,1,254408,254408
