試合種別ID,試合種別名略,所属グループ,Jリーグ表示順,チームID,チーム名,チーム名略,チーム名英,チーム名英略,チーム名カナ,チーム名カナ略,国ID,国名略,都道府県,チームカラー
249,Ｊ１百年構想,EAST,8,120,鹿島アントラーズ,鹿島,Kashima Antlers,KASM,カシマアントラーズ,カシマ,1,日本,茨城県,185.0.0
249,Ｊ１百年構想,EAST,9,176,水戸ホーリーホック,水戸,Mito Hollyhock,MITO,ミトホーリーホック,ミト,1,日本,茨城県,0.0.255
249,Ｊ１百年構想,EAST,13,122,浦和レッズ,浦和,Urawa Reds,URAW,ウラワレッズ,ウラワ,1,日本,埼玉県,255.0.0
249,Ｊ１百年構想,EAST,15,121,ジェフユナイテッド千葉,千葉,JEF United Chiba,CHIB,ジェフユナイテッドチバ,チバ,1,日本,千葉県,255.255.0
249,Ｊ１百年構想,EAST,16,132,柏レイソル,柏,Kashiwa Reysol,KASW,カシワレイソル,カシワ,1,日本,千葉県,255.255.0
249,Ｊ１百年構想,EAST,17,270,ＦＣ東京,FC東京,FC TOKYO,FCT,エフシートウキョウ,エフシートウキョウ,1,日本,東京都,0.0.150
249,Ｊ１百年構想,EAST,18,123,東京ヴェルディ,東京Ｖ,Tokyo Verdy,TK-V,トウキョウヴェルディ,トウキョウブイ,1,日本,東京都,0.105.0
249,Ｊ１百年構想,EAST,19,30532,ＦＣ町田ゼルビア,町田,FC Machida Zelvia,MCD,エフシーマチダゼルビア,マチダ,1,日本,東京都,0.0.255
249,Ｊ１百年構想,EAST,20,86,川崎フロンターレ,川崎Ｆ,Kawasaki Frontale,KA-F,カワサキフロンターレ,カワサキエフ,1,日本,神奈川県,0.255.255
249,Ｊ１百年構想,EAST,21,124,横浜Ｆ・マリノス,横浜FM,Yokohama F･Marinos,Y-FM,ヨコハマエフマリノス,ヨコハマエフエム,1,日本,神奈川県,0.0.255
249,Ｊ１百年構想,WEST,31,126,清水エスパルス,清水,Shimizu S-Pulse,SHIM,シミズエスパルス,シミズ,1,日本,静岡県,250.115.0
249,Ｊ１百年構想,WEST,34,127,名古屋グランパス,名古屋,Nagoya Grampus,NAGO,ナゴヤグランパス,ナゴヤ,1,日本,愛知県,255.0.0
249,Ｊ１百年構想,WEST,37,134,京都サンガF.C.,京都,Kyoto Sanga F.C.,KYOT,キョウトサンガエフシー,キョウト,1,日本,京都府,128.0.128
249,Ｊ１百年構想,WEST,38,128,ガンバ大阪,Ｇ大阪,Gamba Osaka,G-OS,ガンバオオサカ,ジーオオサカ,1,日本,大阪府,0.0.255
249,Ｊ１百年構想,WEST,39,133,セレッソ大阪,Ｃ大阪,Cerezo Osaka,C-OS,セレッソオオサカ,シーオオサカ,1,日本,大阪府,255.50.205
249,Ｊ１百年構想,WEST,41,136,ヴィッセル神戸,神戸,Vissel Kobe,KOBE,ヴィッセルコウベ,コウベ,1,日本,兵庫県,185.0.0
249,Ｊ１百年構想,WEST,44,30314,ファジアーノ岡山,岡山,Fagiano Okayama,OKAY,ファジアーノオカヤマ,オカヤマ,1,日本,岡山県,185.0.0
249,Ｊ１百年構想,WEST,45,129,サンフレッチェ広島,広島,Sanfrecce Hiroshima,HIRO,サンフレッチェヒロシマ,ヒロシマ,1,日本,広島県,128.0.128
249,Ｊ１百年構想,WEST,52,135,アビスパ福岡,福岡,Avispa Fukuoka,FUKU,アビスパフクオカ,フクオカ,1,日本,福岡県,0.0.105
249,Ｊ１百年構想,WEST,55,30531,Ｖ・ファーレン長崎,長崎,V-Varen Nagasaki,NGSK,ヴィファーレンナガサキ,ナガサキ,1,日本,長崎県,0.0.255
250,Ｊ２・Ｊ３百年構想,EAST-B,1,276,北海道コンサドーレ札幌,札幌,Hokkaido Consadole Sapporo,SAPP,ホッカイドウコンサドーレサッポロ,サッポロ,1,日本,北海道,255.0.0
250,Ｊ２・Ｊ３百年構想,EAST-A,2,31219,ヴァンラーレ八戸,八戸,Vanraure Hachinohe,HACH,ヴァンラーレハチノヘ,ハチノヘ,1,日本,青森県,0.105.0
250,Ｊ２・Ｊ３百年構想,EAST-A,3,238,ベガルタ仙台,仙台,Vegalta Sendai,SEND,ベガルタセンダイ,センダイ,1,日本,宮城県,255.220.0
250,Ｊ２・Ｊ３百年構想,EAST-A,4,30310,ブラウブリッツ秋田,秋田,Blaublitz Akita,AKI,ブラウブリッツアキタ,アキタ,1,日本,秋田県,0.0.255
250,Ｊ２・Ｊ３百年構想,EAST-A,5,294,モンテディオ山形,山形,Montedio Yamagata,YAMA,モンテディオヤマガタ,ヤマガタ,1,日本,山形県,0.0.150
250,Ｊ２・Ｊ３百年構想,EAST-B,6,30674,福島ユナイテッドＦＣ,福島,Fukushima United FC,FKSM,フクシマユナイテッドフットボールクラブ,フクシマ,1,日本,福島県,255.0.0
250,Ｊ２・Ｊ３百年構想,EAST-B,7,31201,いわきＦＣ,いわき,IWAKI FC,IFC,イワキエフシー,イワキ,1,日本,福島県,255.0.0
250,Ｊ２・Ｊ３百年構想,EAST-A,10,30305,栃木ＳＣ,栃木SC,Tochigi SC,TO-S,トチギエスシー,トチギエスシー,1,日本,栃木県,255.255.0
250,Ｊ２・Ｊ３百年構想,EAST-A,11,30527,栃木シティ,栃木Ｃ,TOCHIGI CITY,TO-C,トチギシティ,トチギシー,1,日本,栃木県,0.0.105
250,Ｊ２・Ｊ３百年構想,EAST-A,12,30103,ザスパ群馬,群馬,Thespa Gunma,GNM,ザスパグンマ,グンマ,1,日本,群馬県,0.0.105
250,Ｊ２・Ｊ３百年構想,EAST-B,14,199,ＲＢ大宮アルディージャ,大宮,RB Omiya Ardija,OMIY,アールビーオオミヤアルディージャ,オオミヤ,1,日本,埼玉県,250.115.0
